"subj";"trial";"load";"p_size"
701;1;2;1021.40856592878
701;2;1;951.434879571811
701;3;5;1063.95694716243
701;4;4;913.487076648841
701;5;0;602.686849574267
701;6;3;826.219892952721
701;7;0;463.802123552124
701;8;4;757.552092609083
701;9;2;732.942940038685
701;10;3;590.649107142857
701;11;5;878.738201246661
701;12;1;851.180078508341
701;13;4;772.236185383244
701;14;3;829.34858490566
701;15;0;455.479036574487
701;16;1;587.802694898941
701;17;2;713.050311665183
701;18;5;708.441658630665
701;19;1;707.664230019493
701;20;5;787.369875222816
701;21;2;566.930762081784
701;22;3;722.141711229947
701;23;0;540.061157796452
701;24;4;666.924688057041
701;25;2;698.234741784038
701;26;1;652.669794459339
701;27;3;575.608288770053
701;28;0;626.432709447415
701;29;5;572.862622658341
701;30;4;726.16212406015
701;31;5;751.825757575758
701;32;1;727.185548617306
701;33;2;624.94375
701;34;3;682.806647940075
701;35;4;687.13535173642
701;36;0;635.536128456735
701;37;3;613.606299212598
701;38;4;654.627450980392
701;39;1;556.506910167818
701;40;2;645.214603739982
701;41;0;600.524079320113
